Service_id,Name,Website,PhoneNum,County
1,"Dublin City Central Placement Service



",www.homelessdublin.ie ,"1800 707 707



",DUBCITY
2,Dublin Outreach ,www.primarycaresafetynet.ie/dublinoutreach,"086 8139015,
(01) 872 0185


",DUBCITY
3,"Inner City Helping Homeless



",www.ichh.ie,085 838 9281,DUBCITY
4,"Tenancy Protection Service



",www.threshold.ie/housing-supports/dublin.html,1800 454 454,DUBCITY
5,"Tenancy Protection Service



",www.threshold.ie/housing-supports/dublin.html,1800 454 454,DUNRATH
6,"Tenancy Protection Service



",www.threshold.ie/housing-supports/dublin.html,1800 454 454,FING
7,"Tenancy Protection Service



",www.threshold.ie/housing-supports/dublin.html,1800 454 454,SOUDUB
8,"Tenancy Protection Service



",www.threshold.ie/housing-supports,1800 454 454,KE
9,"Tenancy Protection Service



",www.threshold.ie/housing-supports,1800 454 454,M
10,"Tenancy Protection Service



",www.threshold.ie/housing-supports,1800 454 454,WW
11,"Tenancy Protection Service



",www.threshold.ie/housing-supports,1800 454 454,C
12,"Tenancy Protection Service



",www.threshold.ie/housing-supports,1800 454 454,G
13,"Dun Laoghaire-Rathdown County Council



",homeless@dlrcoco.ie,"(01) 205 4700



",DUNRATH
14,"Fingal - Repeat Homeless Presentations



",homeless@fingal.ie ,"(01) 890 5800



",FING
15,"Fingal - New Homeless Presentations



",homeless@fingal.ie ,"(01) 890 5090



",FING
16,"South Dublin County Council



",www.sdcc.ie/en/services/housing/finding-a-home/homeless-services,"(01) 414 9000



",SOUDUB
17,Dublin Outreach ,www.primarycaresafetynet.ie/dublinoutreach,"086 8139015,(01) 872 0185

",FING
18,Dublin Outreach ,www.primarycaresafetynet.ie/dublinoutreach,"086 8139015,(01) 872 0185",DUNRATH
19,Dublin Outreach ,www.primarycaresafetynet.ie/dublinoutreach,"086 8139015,(01) 872 0185",SOUDUB
20,Kildare County Council,www.kildare.ie/CountyCouncil/Housing/HomelessServices,(045) 980 705,KE
21,Kildare County Council (Out of Hours),kildare.ie/CountyCouncil/Housing/HomelessServices,1800 804 307,KE
22,Meath County Council,www.meath.ie/council/council-services/housing/homeless-service,(046) 909 7297,M
23,Mid West Simon,www.midwestsimon.ie/contact,(061) 608 980,CE
24,Mid West Simon,www.midwestsimon.ie/contact,(061) 608 980,T
25,Mid West Simon,www.midwestsimon.ie/contact,(061) 608 980,L
26,The Peter McVerry Trust,www.pmvtrust.ie,(01) 823 0776,SOUDUB
27,The Peter McVerry Trust,www.pmvtrust.ie,(061) 214 882,L
28,The Peter McVerry Trust,www.pmvtrust.ie,(041) 983 4274,LH
29,Mount Cara,carahouse@eircom.net,(021) 439 5737,C
30,Laois County Council,www.laois.ie/out-of-hours-homeless-service,(087) 4454542,LS
31,Bethany House (For Women),bethany.house@svp.ie,(043) 334 8136,LD
32,St. Martha's Hostel (For Men),stmarthas.hostel@svp.ie,(043) 334 8062,LD
33,Longford Town,info.northeast@svp.ie,(043) 334 2084,LD
34,Offaly County Council,webmaster@offalycoco.ie,1890 750 750,OY
35,Midlands Simon Community,info@midlandssimon.com ,(090) 6444641,OY
36,Kieran Butler - Housing Welfare Officer,www.westmeathcoco.ie/en/ourservices/housing/homelessoratrisk,(044) 933 2287,WM
37,Dublin Housing First,dublinhousingfirst@pmvtrust.ie,1800 805 820,SOUDUB
38,Dublin Housing First,dublinhousingfirst@pmvtrust.ie,1800 805 820,FING
39,Dublin Housing First,dublinhousingfirst@pmvtrust.ie,1800 805 820,DUBCITY
